A-TB1-4|AA-TA-6
A-TB1-6|CC-42-(+)
A-TB1-7|GG-42-(+)
A-TB1-8|HH-42-(+)
A-TB1-9|JJ-PS1-3
A-TB1-11|FF-42-(+)
AA-TA-2|A-TB1-16
A-TB1-18|CC-44-(-)
A-TB1-19|GG-44-(-)
A-TB1-20|HH-44-(-)
A-TB1-21|JJ-PS1-2
A-TB1-23|FF-44-(-)
P-TB-1|AA-TB1-5
P-TB-2|AA-TB1-6
P-TB-3|AB-TB1-5
P-TB-4|AB-TB1-6
AA-TB-4|PP-TB-2
AA-TB-5|PP-TB-1
AA-TB-6|PP-TB-5
AA-TB-7|PP-TB-4
AA-TA-1|AB-TB1-7
AA-TA-2|AA-TB1-11
AA-TA-5|AB-TB1-8
AA-TA-6|AA-TB1-12
FF-D-32|CC-A-32
FF-C-32|CC-D-32
N-TB1-5|LL-343-1A
N-TB1-6|LL-343-1H
M-TSN1-1|LL-343-1D
M-TSN1-C|LL-343-1E
M-TSN2-1|LL-343-2A
M-TSN2-C|LL-343-2H
M-TSN3-1|LL-343-2D
M-TSN3-C|LL-343-2E
M-TSN4-1|LL-343-3A
M-TSN4-C|LL-343-3H
N-TSN1-1|LL-343-3D
N-TSN1-C|LL-343-3E
N-TSN2-1|LL-343-4A
N-TSN2-C|LL-343-4H
N-TSN3-1|LL-343-4D
N-TSN3-C|LL-343-4E
N-TSN4-1|LL-343-5A
N-TSN4-C|LL-343-5H
PP-TB-1|AA-TB1-5
PP-TB-2|AA-TB1-4
PP-TB-4|AA-TB1-7
PP-TB-5|AA-TB1-6
